timestamp,round,round_hits_p1,round_hits_p2,total_score_p1,total_score_p2,accuracy_p1,accuracy_p2
2026-03-24T07:50:19.630708,2,0,0,5,8,0.00,0.00
2026-03-24T07:50:21.463839,3,0,0,5,8,0.00,0.00
2026-03-24T07:50:30.984040,4,0,0,6,13,0.00,0.00
2026-03-24T08:02:24.894633,2,0,0,2,1,0.00,0.00
2026-03-24T08:04:54.929219,3,0,0,5,2,0.00,0.00
2026-03-24T08:04:57.677312,4,0,0,5,2,0.00,0.00
2026-03-24T08:04:58.271407,5,0,0,5,2,0.00,0.00
2026-03-24T08:04:58.898232,6,0,0,5,2,0.00,0.00
2026-03-24T08:04:59.023802,7,0,0,5,2,0.00,0.00
2026-03-24T08:04:59.145691,8,0,0,5,2,0.00,0.00
2026-03-24T08:04:59.265870,9,0,0,5,2,0.00,0.00
2026-03-24T08:04:59.393177,10,0,0,5,2,0.00,0.00
2026-03-24T08:04:59.516852,11,0,0,5,2,0.00,0.00
2026-03-24T08:04:59.636271,12,0,0,5,2,0.00,0.00
2026-03-24T08:45:22.280103,2,0,0,3,1,0.00,0.00
2026-03-24T08:45:28.509957,3,0,0,3,1,0.00,0.00
2026-03-24T08:45:39.968667,4,0,0,5,3,0.00,0.00
2026-03-24T08:45:41.072542,5,0,0,5,3,0.00,0.00
2026-03-24T08:45:41.186234,6,0,0,5,3,0.00,0.00
2026-03-24T08:45:41.433171,7,0,0,5,3,0.00,0.00
2026-03-24T08:45:41.545382,8,0,0,5,3,0.00,0.00
2026-03-24T08:45:41.677696,9,0,0,5,3,0.00,0.00
2026-03-24T08:59:47.873047,2,0,0,4,2,0.00,0.00
2026-03-24T08:59:49.018054,3,0,0,4,2,0.00,0.00
2026-03-24T08:59:50.305459,4,0,0,4,2,0.00,0.00
2026-03-24T08:59:58.224543,5,0,0,4,2,0.00,0.00
2026-03-24T09:38:07.089948,2,0,0,3,2,0.00,0.00
2026-03-24T09:38:07.756089,3,0,0,3,2,0.00,0.00
2026-03-24T09:47:40.917780,2,0,0,0,7,0.00,77.78
2026-03-24T09:55:03.959299,3,0,0,0,9,33.33,83.33
2026-03-24T12:55:55.657131,2,0,0,15,2,0.00,0.00
2026-03-24T12:55:57.054780,3,0,0,15,2,0.00,0.00
2026-03-24T13:03:10.169870,4,0,0,13,22,0.00,0.00
2026-03-24T13:04:34.506304,2,0,0,8,17,0.00,0.00
2026-03-24T13:04:34.786078,3,0,0,8,17,0.00,0.00
2026-03-24T13:04:36.300467,4,0,0,9,18,0.00,0.00
2026-03-24T13:04:37.730839,5,0,0,12,18,0.00,0.00
2026-03-24T13:04:38.056560,6,0,0,12,18,0.00,0.00
2026-03-24T13:04:38.215239,7,0,0,12,18,0.00,0.00
2026-03-24T13:04:39.295324,8,0,0,12,20,0.00,0.00
2026-03-24T13:04:39.918325,9,0,0,13,20,0.00,0.00
2026-03-24T13:04:42.369227,10,0,0,13,23,0.00,0.00
2026-03-24T13:04:45.146774,10,0,0,13,23,0.00,0.00
2026-03-24T13:22:00.823505,2,0,0,0,0,100.00,50.00
2026-03-24T13:22:13.444532,3,0,0,11,0,100.00,50.00
2026-03-24T13:22:18.955612,4,0,0,11,6,100.00,50.00
2026-03-24T13:22:30.455678,5,0,0,16,16,100.00,50.00
2026-03-24T13:22:36.482936,6,0,0,21,16,100.00,50.00
2026-03-24T13:23:58.405461,6,0,0,21,16,100.00,50.00
2026-03-24T13:24:54.575075,2,0,0,0,0,0.00,0.00
2026-03-24T13:26:30.561171,3,0,0,21,21,0.00,71.43
2026-03-24T13:26:37.713194,4,0,0,24,21,0.00,71.43
2026-03-24T13:58:13.716769,2,0,0,0,3,66.67,77.78
2026-03-24T13:58:53.789811,3,0,0,0,3,55.56,66.67
2026-03-24T13:59:35.270545,4,0,0,0,4,66.67,66.67
2026-03-24T14:00:18.822263,5,0,0,3,4,66.67,61.90
2026-03-24T14:01:04.859562,6,0,0,7,4,70.37,53.33
2026-03-24T14:01:46.581366,7,0,0,7,4,61.11,57.58
2026-03-24T14:01:57.939479,8,0,0,7,5,61.11,55.56
2026-03-24T14:02:04.064548,9,0,0,10,5,64.10,55.56
2026-03-24T14:02:12.397033,10,0,0,10,6,64.10,53.85
2026-03-24T14:02:19.654459,11,0,0,10,6,64.10,53.85
2026-03-24T14:02:34.696144,12,0,0,10,7,64.10,52.38
2026-03-24T14:02:48.234254,13,0,0,21,9,64.10,52.38
2026-03-24T14:02:52.040597,13,0,0,21,9,64.10,52.38
2026-03-24T14:03:03.489801,13,0,0,22,9,64.10,52.38
2026-03-25T08:10:30.260439,2,0,0,3,1,0.00,0.00
2026-03-25T08:10:43.542863,3,0,0,3,1,0.00,0.00
2026-03-25T08:10:44.179243,4,0,0,3,1,0.00,0.00
2026-03-25T08:10:44.449444,5,0,0,3,1,0.00,0.00
2026-03-25T08:10:44.749944,6,0,0,3,1,0.00,0.00
2026-03-25T08:19:37.734661,2,0,0,15,5,0.00,0.00
2026-03-25T08:19:44.068328,3,0,0,21,5,0.00,0.00
2026-03-25T08:19:49.037076,3,0,0,22,5,0.00,0.00
2026-03-25T08:28:39.651349,2,0,0,5,2,0.00,0.00
2026-03-25T08:28:40.615044,3,0,0,5,2,0.00,0.00
2026-03-25T08:28:41.029907,4,0,0,5,2,0.00,0.00
2026-03-25T08:28:41.184127,5,0,0,5,2,0.00,0.00
2026-03-25T08:28:52.821874,6,0,0,18,13,0.00,0.00
2026-03-25T08:28:56.715872,7,0,0,21,13,0.00,0.00
2026-03-25T08:32:25.865280,2,0,0,21,7,0.00,0.00
2026-03-25T08:37:00.253299,2,0,0,20,6,0.00,0.00
2026-03-25T08:37:02.683180,3,0,0,22,6,0.00,0.00
2026-03-25T09:09:11.229621,2,0,0,10,5,0.00,0.00
2026-03-25T09:09:12.024035,3,0,0,10,5,0.00,0.00
2026-03-25T09:09:18.990363,4,0,0,21,5,0.00,0.00
2026-03-25T10:00:24.561459,2,0,0,1,0,100.00,33.33
2026-03-26T08:38:05.455586,2,0,0,0,7,33.33,73.33
2026-03-26T08:39:45.937183,3,0,0,5,7,55.56,66.67
2026-03-26T08:39:48.448318,4,0,0,5,7,55.56,66.67
2026-03-26T08:40:37.334103,5,0,0,13,7,57.58,61.90
2026-03-26T08:40:45.814081,6,0,0,15,8,57.58,61.90
2026-03-26T08:40:50.007724,7,0,0,19,9,57.58,61.90
2026-03-26T08:40:53.273158,8,0,0,21,9,57.58,61.90
2026-03-26T09:14:29.089066,2,0,0,0,1,33.33,100.00
2026-03-26T09:14:52.122620,3,0,0,1,1,50.00,100.00
2026-03-26T09:26:40.495137,4,0,0,1,2,44.44,100.00
2026-03-26T09:27:10.659701,5,0,0,4,2,52.38,100.00
2026-03-26T09:27:55.979205,6,0,0,4,2,52.38,100.00
2026-03-26T09:28:18.286957,7,0,0,8,2,53.33,83.33
